interval	#all	%eigen	%spantree	%cosine	%common
0	50118	0,0257193	0,00844008	0,0234646	0,0065246
0,13	103089	0,0333692	0,0145311	0,0354936	0,0106898
0,26	106811	0,0508468	0,0278623	0,0544326	0,0199043
0,39	88400	0,0742986	0,0460294	0,0856787	0,031448
0,52	68799	0,119057	0,0729516	0,13461	0,0533729
0,65	57922	0,196955	0,11222	0,212734	0,0908636
0,78	52372	0,212041	0,120083	0,235641	0,098946
0,91	49994	0,256591	0,133816	0,273513	0,119594
1,04	49337	0,270243	0,135132	0,287127	0,122646
1,17	49184	0,269295	0,136122	0,282226	0,129026
1,3	46972	0,262135	0,123691	0,26982	0,119518
1,43	44893	0,234157	0,112512	0,242955	0,109572
1,56	42768	0,229003	0,108305	0,234451	0,106832
1,69	38755	0,202864	0,0929945	0,206554	0,0921688
1,82	35027	0,183744	0,0856768	0,18757	0,0853342
1,95	30169	0,152441	0,0673539	0,154695	0,0672876
2,08	25287	0,113616	0,0487207	0,115118	0,0487207
2,21	20433	0,0768854	0,0308814	0,0785005	0,0308814
2,34	15514	0,0417687	0,0151476	0,0422844	0,0151476
2,47	11471	0,0081074	0,000871764	0,00836893	0,000871764
2,6	8128	0	0	0	0
2,73	5303	0	0	0	0
2,86	3218	0	0	0	0
2,99	1805	0	0	0	0
3,12	845	0	0	0	0
3,25	335	0	0	0	0
3,38	102	0	0	0	0
3,51	24	0	0	0	0
