interval	#all	%eigen	%spantree	%cosine	%common
0	4441	0,00382797	0,00112587	0,00472866	0,00112587
0,03	9074	0,0211594	0,00606127	0,0156491	0,00517963
0,06	13364	0,0210266	0,00800658	0,0244687	0,00613589
0,09	16942	0,0311061	0,0106245	0,0285681	0,00796836
0,12	19530	0,0435228	0,0155658	0,0384025	0,0132104
0,15	23273	0,0267262	0,0100116	0,0291325	0,00683195
0,18	24283	0,0269324	0,0106247	0,0279208	0,00786558
0,21	25486	0,0410421	0,0216197	0,0458683	0,0147924
0,24	25052	0,0331311	0,0156075	0,0369232	0,0116158
0,27	25472	0,0411432	0,0221027	0,0444017	0,0148398
0,3	25770	0,0512612	0,0275126	0,0563834	0,01948
0,33	24039	0,0408919	0,0231291	0,0454262	0,0143101
0,36	23292	0,0768075	0,0422892	0,0772368	0,0337455
0,39	22266	0,0436989	0,0308093	0,0570825	0,018773
0,42	21240	0,0737759	0,0429849	0,0828625	0,0305556
0,45	19360	0,0728306	0,0467459	0,0845041	0,0292355
0,48	19536	0,117475	0,0659808	0,122543	0,0536957
0,51	17374	0,0737309	0,0518015	0,0986532	0,0311385
0,54	16831	0,102727	0,0638702	0,114491	0,0442636
0,57	15530	0,128654	0,080103	0,142692	0,0622666
0,6	15446	0,146705	0,0839052	0,161466	0,0597566
0,63	13932	0,152957	0,0915159	0,165734	0,0742176
0,66	14138	0,169897	0,104682	0,197906	0,0769557
0,69	13593	0,200324	0,111822	0,212094	0,091297
0,72	12022	0,10381	0,0692065	0,133173	0,0417568
0,75	13853	0,299141	0,156861	0,299863	0,143796
0,78	12081	0,155533	0,0989984	0,193361	0,0663025
0,81	12719	0,243808	0,131929	0,257174	0,116597
0,84	11729	0,206838	0,116378	0,231136	0,0932731
0,87	12038	0,225037	0,124356	0,24431	0,108158
0,9	11451	0,253602	0,127674	0,269758	0,112741
0,93	11571	0,229194	0,130758	0,253565	0,115634
0,96	11868	0,298365	0,147287	0,309403	0,134985
0,99	11269	0,234448	0,126808	0,256899	0,108262
1,02	11697	0,298282	0,157476	0,312559	0,146533
1,05	11170	0,249239	0,117816	0,259534	0,105551
1,08	11092	0,233502	0,125766	0,253787	0,113235
1,11	12835	0,365018	0,183794	0,377328	0,176626
1,14	10183	0,18305	0,0830796	0,208092	0,0653049
1,17	11297	0,239887	0,128795	0,257945	0,121448
1,2	12023	0,326374	0,16327	0,332197	0,156949
1,23	11329	0,261983	0,128696	0,278842	0,118457
1,26	10609	0,229616	0,113866	0,239419	0,108776
1,29	11754	0,298622	0,144547	0,308321	0,140973
1,32	9847	0,199147	0,0928201	0,212755	0,0841881
1,35	11179	0,280884	0,143841	0,290455	0,141426
1,38	11605	0,31564	0,147523	0,315467	0,145627
1,41	9797	0,180974	0,0720629	0,19016	0,0656323
1,44	10497	0,241402	0,12213	0,251977	0,119653
1,47	11340	0,303527	0,15194	0,310229	0,149295
1,5	9883	0,1966	0,0834767	0,203987	0,0804412
1,53	9889	0,208919	0,101426	0,221054	0,0991
1,56	10615	0,269713	0,136317	0,275082	0,134338
1,59	9967	0,238186	0,0997291	0,241898	0,0987258
1,62	8790	0,132537	0,0564278	0,14289	0,0540387
1,65	10195	0,26258	0,135557	0,266994	0,134576
1,68	9815	0,264391	0,121345	0,265308	0,120734
1,71	8695	0,173088	0,0698102	0,180679	0,0680851
1,74	8876	0,17598	0,077963	0,180825	0,0770617
1,77	8348	0,169262	0,0836128	0,172377	0,0836128
1,8	9244	0,243834	0,121592	0,245889	0,121051
1,83	8479	0,198608	0,0818493	0,201439	0,0814955
1,86	7689	0,125634	0,0431786	0,132527	0,0426583
1,89	7430	0,146164	0,0741588	0,149125	0,0738896
1,92	8407	0,231712	0,122398	0,233853	0,12216
1,95	7419	0,175361	0,0640248	0,176304	0,0640248
1,98	6538	0,0709697	0,0111655	0,0757112	0,0108596
2,01	6665	0,110878	0,0568642	0,113578	0,0568642
2,04	7302	0,217475	0,120926	0,219118	0,120926
2,07	6537	0,166437	0,0674621	0,168426	0,0674621
2,1	5750	0,0796522	0,0111304	0,0803478	0,0111304
2,13	5248	0,0182927	0,000762195	0,0209604	0,000762195
2,16	6228	0,182241	0,106134	0,183365	0,106134
2,19	5537	0,143941	0,0624887	0,143941	0,0624887
2,22	4851	0,0729746	0,0131932	0,0754484	0,0131932
2,25	4499	0,0195599	0,000666815	0,0222272	0,000666815
2,28	4683	0,0913944	0,0557335	0,0933163	0,0557335
2,31	4632	0,109456	0,0520294	0,109456	0,0520294
2,34	3853	0,0596937	0,0119387	0,0594342	0,0119387
2,37	3590	0,0155989	0,000278552	0,016156	0,000278552
2,4	3682	0,0353069	0,0217273	0,0361217	0,0217273
2,43	3382	0,059728	0,0289769	0,0609107	0,0289769
2,46	3073	0,0260332	0,00618288	0,0260332	0,00618288
2,49	2799	0,0100036	0,00035727	0,0107181	0,00035727
2,52	2701	0,00370233	0	0,0044428	0
2,55	2411	0,00207383	0	0,00165906	0
2,58	2312	0	0	0	0
2,61	2034	0	0	0	0
2,64	1934	0	0	0	0
2,67	1764	0	0	0	0
2,7	1578	0	0	0	0
2,73	1422	0	0	0	0
2,76	1339	0	0	0	0
2,79	1150	0	0	0	0
2,82	1055	0	0	0	0
2,85	958	0	0	0	0
2,88	861	0	0	0	0
2,91	718	0	0	0	0
2,94	665	0	0	0	0
2,97	572	0	0	0	0
3	484	0	0	0	0
3,03	425	0	0	0	0
3,06	371	0	0	0	0
3,09	306	0	0	0	0
3,12	265	0	0	0	0
3,15	203	0	0	0	0
3,18	199	0	0	0	0
3,21	131	0	0	0	0
3,24	130	0	0	0	0
3,27	87	0	0	0	0
3,3	72	0	0	0	0
3,33	66	0	0	0	0
3,36	43	0	0	0	0
3,39	34	0	0	0	0
3,42	25	0	0	0	0
3,45	18	0	0	0	0
3,48	9	0	0	0	0
3,51	12	0	0	0	0
3,54	4	0	0	0	0
3,57	5	0	0	0	0
3,6	2	0	0	0	0
3,63	1	0	0	0	0
3,66	1	0	0	0	0
