interval	#all	%eigen	%spantree	%cosine	%common
0	26879	0,0182298	0,00621303	0,0182298	0,0049853
0,09	59745	0,0334589	0,012001	0,0320027	0,00923927
0,18	74821	0,033814	0,0160383	0,0370484	0,0114807
0,27	75281	0,0445265	0,0242824	0,0488304	0,0162591
0,36	66798	0,0648073	0,0386838	0,0723076	0,0277404
0,45	56270	0,0886085	0,0549849	0,102079	0,0383153
0,54	47807	0,125358	0,0756165	0,138829	0,0551175
0,63	41663	0,174159	0,102609	0,191777	0,0807191
0,72	37956	0,191564	0,110681	0,213168	0,086811
0,81	36486	0,22573	0,124431	0,24456	0,106315
0,9	34890	0,260734	0,135368	0,277873	0,121267
0,99	34136	0,261161	0,134374	0,276834	0,120489
1,08	34110	0,267927	0,134858	0,286631	0,122779
1,17	34649	0,277122	0,140726	0,290542	0,132789
1,26	32210	0,245483	0,118628	0,256411	0,113008
1,35	32581	0,263221	0,123569	0,269206	0,120131
1,44	31720	0,249653	0,120744	0,25785	0,118033
1,53	30471	0,239671	0,113025	0,246694	0,111253
1,62	28800	0,223507	0,106563	0,228542	0,105278
1,71	25919	0,172846	0,0770477	0,178055	0,0761603
1,8	25412	0,19298	0,0846057	0,196757	0,0841335
1,89	23256	0,186404	0,0883643	0,188424	0,0881923
1,98	20505	0,136113	0,0651061	0,139088	0,0650085
2,07	17535	0,0936413	0,0290277	0,0954092	0,0290277
2,16	16616	0,137578	0,0644559	0,138722	0,0644559
2,25	13814	0,0740553	0,0365571	0,0755755	0,0365571
2,34	11125	0,0373933	0,0114157	0,0377528	0,0114157
2,43	9254	0,033499	0,0127512	0,0341474	0,0127512
2,52	7424	0,00202047	0	0,00215517	0
2,61	5732	0	0	0	0
2,7	4339	0	0	0	0
2,79	3163	0	0	0	0
2,88	2244	0	0	0	0
2,97	1481	0	0	0	0
3,06	942	0	0	0	0
3,15	533	0	0	0	0
3,24	289	0	0	0	0
3,33	143	0	0	0	0
3,42	52	0	0	0	0
3,51	21	0	0	0	0
3,6	4	0	0	0	0
