interval	#all	%eigen	%spantree	%cosine	%common
0	17712	0,0179539	0,00587173	0,0155827	0,00496838
0,07	38857	0,0280773	0,00939342	0,0273825	0,0071287
0,14	54338	0,0319114	0,0123854	0,0320218	0,0094225
0,21	59417	0,0408806	0,0203814	0,044011	0,0149789
0,28	58416	0,0456211	0,0249418	0,0500548	0,0165366
0,35	53544	0,0540864	0,033113	0,0616502	0,0231585
0,42	47358	0,0663035	0,0416403	0,0788251	0,0272393
0,49	41738	0,113925	0,0674685	0,123485	0,0504816
0,56	36221	0,128406	0,0782419	0,145054	0,0564037
0,63	32640	0,162377	0,097549	0,18315	0,0757353
0,7	30168	0,192157	0,111277	0,20767	0,0901286
0,77	29530	0,221165	0,12235	0,240738	0,0998984
0,84	27572	0,222146	0,123858	0,244233	0,105107
0,91	27335	0,263874	0,136199	0,278837	0,122846
0,98	26716	0,262951	0,139168	0,282303	0,123709
1,05	26633	0,264559	0,135997	0,280104	0,12447
1,12	26397	0,259045	0,128083	0,276584	0,116718
1,19	26899	0,284063	0,14086	0,29674	0,132793
1,26	25672	0,263945	0,126831	0,272632	0,122156
1,33	25679	0,263367	0,132248	0,273258	0,128237
1,4	23937	0,228851	0,10348	0,236412	0,0994694
1,47	24634	0,249168	0,11679	0,25684	0,113908
1,54	24045	0,248077	0,121231	0,254689	0,119526
1,61	22000	0,201227	0,0944545	0,208091	0,0929545
1,68	21236	0,207337	0,0875871	0,211339	0,086457
1,75	20720	0,201448	0,0992761	0,204392	0,0988417
1,82	19190	0,17728	0,074049	0,182178	0,0736321
1,89	18470	0,197076	0,0985923	0,19908	0,0983757
1,96	15707	0,107404	0,0373719	0,110524	0,0372445
2,03	16121	0,179083	0,08827	0,181254	0,08827
2,1	12995	0,0622547	0,0188534	0,0643324	0,0188534
2,17	13103	0,151187	0,0679234	0,151416	0,0679234
2,24	10698	0,0529071	0,0250514	0,0555244	0,0250514
2,31	9739	0,0780368	0,0295718	0,0779341	0,0295718
2,38	8277	0,0387822	0,0189682	0,0395071	0,0189682
2,45	6995	0,0217298	0,00586133	0,0224446	0,00586133
2,52	5891	0,00254626	0	0,00271601	0
2,59	4863	0	0	0	0
2,66	3980	0	0	0	0
2,73	3161	0	0	0	0
2,8	2476	0	0	0	0
2,87	1866	0	0	0	0
2,94	1407	0	0	0	0
3,01	984	0	0	0	0
3,08	697	0	0	0	0
3,15	435	0	0	0	0
3,22	282	0	0	0	0
3,29	171	0	0	0	0
3,36	84	0	0	0	0
3,43	45	0	0	0	0
3,5	16	0	0	0	0
3,57	8	0	0	0	0
