interval	#all	%eigen	%spantree	%cosine	%common
1,28	3942	0,282344	0,149924	0,28894	0,146626
1,29	3926	0,307438	0,155629	0,324503	0,150535
1,3	3906	0,298259	0,147465	0,31234	0,144137
1,31	3922	0,290158	0,130546	0,288118	0,128251
1,32	3309	0,250831	0,10547	0,252342	0,098217
1,33	3107	0,15964	0,0653363	0,176376	0,0547152
1,34	3431	0,185077	0,105509	0,20752	0,0973477
1,35	3571	0,213106	0,091571	0,219826	0,0879306
1,36	3694	0,285328	0,165674	0,296427	0,163508
1,37	3914	0,338528	0,170925	0,349259	0,169392
1,38	3588	0,24777	0,111483	0,252787	0,10981
1,39	4374	0,366484	0,188157	0,366484	0,1861
1,4	3643	0,321438	0,13423	0,315948	0,132309
1,41	3310	0,219637	0,0912387	0,226888	0,0839879
1,42	3203	0,162036	0,0580706	0,177958	0,0530752
1,43	3284	0,160475	0,0663825	0,165043	0,0593788
1,44	3608	0,227827	0,115022	0,236419	0,111419
1,45	3486	0,269363	0,146013	0,282846	0,143144
1,46	3403	0,227153	0,105201	0,23685	0,10432
1,47	3724	0,321697	0,181525	0,334049	0,17884
1,48	4121	0,292162	0,138316	0,292405	0,136375
1,49	3495	0,297568	0,136481	0,305866	0,133047
1,5	3490	0,206877	0,0859599	0,218338	0,082235
1,51	2723	0,193537	0,0650018	0,196842	0,0635329
1,52	3670	0,189101	0,0948229	0,19564	0,0912807
1,53	3411	0,220756	0,0964527	0,232483	0,0932278
1,54	3067	0,14118	0,0603195	0,159765	0,0573851
1,55	3411	0,257989	0,14336	0,264732	0,14248
1,56	3241	0,209812	0,0916384	0,213206	0,0894786
1,57	3655	0,309713	0,17565	0,315732	0,173461
1,58	3719	0,282603	0,136596	0,289056	0,134983
1,59	3466	0,310733	0,144547	0,313907	0,143681
1,6	3486	0,204246	0,0840505	0,207401	0,0826162
1,61	3015	0,19403	0,066335	0,199005	0,0656716
1,62	2964	0,117746	0,037112	0,126518	0,0337382
1,63	2530	0,0837945	0,0166008	0,0972332	0,0142292
1,64	3296	0,183252	0,104369	0,192658	0,102852
1,65	3386	0,216775	0,110159	0,227112	0,108092
1,66	3266	0,287814	0,157685	0,289345	0,157379
1,67	3543	0,283093	0,13943	0,284505	0,138865
1,68	3201	0,223368	0,0977819	0,224305	0,0974695
1,69	3342	0,286355	0,149013	0,286954	0,148115
1,7	3272	0,28209	0,116137	0,283313	0,115526
1,71	3218	0,222498	0,0991299	0,224674	0,0975761
1,72	2811	0,165066	0,0651014	0,177161	0,0629669
1,73	2666	0,121905	0,0393848	0,131283	0,0378845
1,74	2726	0,111152	0,0227439	0,11482	0,0216434
1,75	3311	0,218363	0,118997	0,224706	0,118091
1,76	2839	0,188799	0,0831279	0,193026	0,0824234
1,77	2918	0,13708	0,0555175	0,136395	0,0555175
1,78	2612	0,103369	0,042879	0,109495	0,042879
1,79	2818	0,263662	0,150461	0,267921	0,150461
1,8	3205	0,252106	0,127613	0,248674	0,126677
1,81	3017	0,23003	0,106066	0,234339	0,105734
1,82	3022	0,248842	0,130708	0,254467	0,130377
1,83	2878	0,224114	0,095205	0,227936	0,0945101
1,84	2431	0,180584	0,0600576	0,176882	0,0600576
1,85	3170	0,189274	0,0864353	0,196215	0,0861199
1,86	2675	0,157757	0,0579439	0,162991	0,0575701
1,87	2447	0,126277	0,0429097	0,134859	0,0416837
1,88	2567	0,0915466	0,0280483	0,0985586	0,0280483
1,89	2234	0,0711728	0,0174575	0,0743062	0,0174575
1,9	2281	0,0635686	0,0267427	0,0657606	0,0267427
1,91	2915	0,268268	0,154717	0,271698	0,154031
1,92	2780	0,201079	0,11223	0,207194	0,111511
1,93	2624	0,238186	0,116997	0,238567	0,116997
1,94	3003	0,254412	0,13653	0,254412	0,13653
1,95	2633	0,230156	0,0915306	0,229016	0,0915306
1,96	2472	0,163026	0,058657	0,161408	0,058657
1,97	2314	0,126188	0,0384615	0,132239	0,0384615
1,98	2296	0,0914634	0,0182927	0,0945122	0,0174216
1,99	2070	0,0797101	0,010628	0,0845411	0,010628
2	2172	0,0409761	0,00414365	0,0474217	0,00414365
2,01	2213	0,0926344	0,0546769	0,0944419	0,0546769
2,02	2170	0,148848	0,0732719	0,150691	0,0732719
2,03	2282	0,0924628	0,043383	0,0968449	0,043383
2,04	2043	0,0675477	0,0283896	0,0699951	0,0283896
2,05	2770	0,301444	0,185199	0,302166	0,185199
2,06	2489	0,247087	0,125352	0,249096	0,125352
2,07	2245	0,225835	0,0988864	0,225835	0,0988864
2,08	2319	0,145321	0,0599396	0,148771	0,0599396
2,09	1973	0,12367	0,0405474	0,126204	0,0405474
2,1	1987	0,116759	0,0196276	0,113739	0,0196276
2,11	2032	0,0708661	0,00935039	0,0718504	0,00935039
2,12	1731	0,0473715	0,0034662	0,0519931	0,0034662
2,13	1804	0,0238359	0,00221729	0,0260532	0,00221729
2,14	1591	0,0194846	0	0,0207417	0
2,15	1853	0,0118726	0	0,01619	0
2,16	1997	0,127692	0,0886329	0,132198	0,0886329
2,17	1949	0,152386	0,073371	0,15136	0,073371
2,18	2282	0,255478	0,14943	0,255478	0,14943
2,19	1973	0,170806	0,0846427	0,171313	0,0846427
2,2	1796	0,148107	0,0651448	0,14755	0,0651448
2,21	1768	0,109729	0,0350679	0,109729	0,0350679
2,22	1758	0,0995449	0,0250284	0,0989761	0,0250284
2,23	1577	0,0818009	0,0101458	0,0856056	0,0101458
2,24	1516	0,0329815	0,00263852	0,0375989	0,00263852
2,25	1595	0,0263323	0,00188088	0,0294671	0,00188088
2,26	1480	0,0141892	0	0,0155405	0
2,27	1424	0,0175562	0	0,0210674	0
2,28	1490	0,00671141	0	0,00872483	0
2,29	1452	0,0275482	0,0199725	0,030303	0,0199725
2,3	1741	0,217117	0,133257	0,218265	0,133257
2,31	1621	0,145589	0,0740284	0,144972	0,0740284
2,32	1526	0,0996068	0,0452163	0,100262	0,0452163
2,33	1485	0,0801347	0,0350168	0,0801347	0,0350168
2,34	1267	0,0702447	0,023678	0,0702447	0,023678
2,35	1338	0,0687593	0,00971599	0,0687593	0,00971599
2,36	1248	0,0392628	0,00240385	0,0384615	0,00240385
2,37	1254	0,0183413	0,000797448	0,0183413	0,000797448
2,38	1256	0,0175159	0	0,0175159	0
2,39	1080	0,0101852	0	0,012037	0
2,4	1205	0,00829876	0	0,00995851	0
2,41	1239	0,00887813	0	0,00887813	0
2,42	1238	0,0880452	0,0646204	0,088853	0,0646204
2,43	1144	0,0856643	0,0428322	0,0865385	0,0428322
2,44	1115	0,0538117	0,0251121	0,0538117	0,0251121
2,45	1123	0,0391808	0,0186999	0,0418522	0,0186999
2,46	1007	0,0297915	0,00993049	0,0297915	0,00993049
2,47	1012	0,0237154	0,00790514	0,0237154	0,00790514
2,48	1054	0,0246679	0,000948767	0,0246679	0,000948767
2,49	1059	0,0151086	0,000944287	0,0169972	0,000944287
2,5	852	0,00704225	0	0,00704225	0
2,51	888	0,00675676	0	0,00675676	0
2,52	902	0,00665188	0	0,00665188	0
2,53	833	0,00240096	0	0,00360144	0
2,54	966	0,00207039	0	0,00310559	0
2,55	830	0,00120482	0	0,00120482	0
2,56	834	0	0	0	0
2,57	747	0,00535475	0	0,00401606	0
2,58	779	0	0	0	0
2,59	715	0	0	0	0
2,6	818	0	0	0	0
2,61	671	0	0	0	0
2,62	690	0	0	0	0
2,63	673	0	0	0	0
2,64	638	0	0	0	0
2,65	658	0	0	0	0
2,66	638	0	0	0	0
2,67	551	0	0	0	0
2,68	611	0	0	0	0
2,69	602	0	0	0	0
2,7	554	0	0	0	0
2,71	490	0	0	0	0
2,72	534	0	0	0	0
2,73	482	0	0	0	0
2,74	474	0	0	0	0
2,75	466	0	0	0	0
2,76	427	0	0	0	0
2,77	472	0	0	0	0
2,78	440	0	0	0	0
2,79	400	0	0	0	0
2,8	359	0	0	0	0
2,81	391	0	0	0	0
2,82	375	0	0	0	0
2,83	352	0	0	0	0
2,84	328	0	0	0	0
2,85	337	0	0	0	0
2,86	334	0	0	0	0
2,87	287	0	0	0	0
2,88	290	0	0	0	0
2,89	274	0	0	0	0
2,9	297	0	0	0	0
2,91	246	0	0	0	0
2,92	219	0	0	0	0
2,93	253	0	0	0	0
2,94	227	0	0	0	0
2,95	251	0	0	0	0
2,96	187	0	0	0	0
2,97	167	0	0	0	0
2,98	186	0	0	0	0
2,99	219	0	0	0	0
3	170	0	0	0	0
3,01	162	0	0	0	0
3,02	152	0	0	0	0
3,03	146	0	0	0	0
3,04	147	0	0	0	0
3,05	132	0	0	0	0
3,06	126	0	0	0	0
3,07	119	0	0	0	0
3,08	126	0	0	0	0
3,09	103	0	0	0	0
3,1	94	0	0	0	0
3,11	109	0	0	0	0
3,12	93	0	0	0	0
3,13	83	0	0	0	0
3,14	89	0	0	0	0
3,15	66	0	0	0	0
3,16	69	0	0	0	0
3,17	68	0	0	0	0
3,18	70	0	0	0	0
3,19	63	0	0	0	0
3,2	66	0	0	0	0
3,21	33	0	0	0	0
3,22	53	0	0	0	0
3,23	45	0	0	0	0
3,24	47	0	0	0	0
3,25	45	0	0	0	0
3,26	38	0	0	0	0
3,27	26	0	0	0	0
3,28	28	0	0	0	0
3,29	33	0	0	0	0
3,3	27	0	0	0	0
3,31	27	0	0	0	0
3,32	18	0	0	0	0
3,33	24	0	0	0	0
3,34	20	0	0	0	0
3,35	22	0	0	0	0
3,36	13	0	0	0	0
3,37	14	0	0	0	0
3,38	16	0	0	0	0
3,39	14	0	0	0	0
3,4	7	0	0	0	0
3,41	13	0	0	0	0
3,42	7	0	0	0	0
3,43	10	0	0	0	0
3,44	8	0	0	0	0
3,45	5	0	0	0	0
3,46	11	0	0	0	0
3,47	2	0	0	0	0
3,48	2	0	0	0	0
3,49	7	0	0	0	0
3,5	0	0	0	0	0
3,51	8	0	0	0	0
3,52	2	0	0	0	0
3,53	2	0	0	0	0
3,54	1	0	0	0	0
3,55	3	0	0	0	0
3,56	0	0	0	0	0
3,57	4	0	0	0	0
3,58	0	0	0	0	0
3,59	1	0	0	0	0
3,6	0	0	0	0	0
3,61	2	0	0	0	0
3,62	0	0	0	0	0
3,63	1	0	0	0	0
3,64	0	0	0	0	0
3,65	0	0	0	0	0
3,66	0	0	0	0	0
3,67	1	0	0	0	0
3,68	0	0	0	0	0
3,69	0	0	0	0	0
3,7	0	0	0	0	0
