interval	#all	%eigen	%spantree	%cosine	%common
0	864	0	0	0	0
0,01	1579	0,00189994	0	0,00316656	0
0,02	1998	0,00700701	0,0025025	0,00800801	0,0025025
0,03	2523	0,0376536	0,0142687	0,0309156	0,0118906
0,04	3175	0,0107087	0,00283465	0,00629921	0,00251969
0,05	3376	0,0186611	0,00296209	0,0130332	0,00266588
0,06	4197	0,0259709	0,0104837	0,026924	0,00857756
0,07	4432	0,0148917	0,00586643	0,0230144	0,00383574
0,08	4735	0,0223865	0,00781415	0,0236536	0,0061246
0,09	5257	0,0192125	0,00570668	0,0213049	0,00475556
0,1	5456	0,0678152	0,022544	0,0522361	0,0175953
0,11	6229	0,00899021	0,00433456	0,0139669	0,00224755
0,12	6297	0,0431952	0,0120692	0,0320788	0,00921074
0,13	6451	0,0186018	0,00713068	0,0254224	0,00589056
0,14	6782	0,0675317	0,0268357	0,0566205	0,0238868
0,15	7569	0,0059453	0,00541683	0,0207425	0,00118906
0,16	8291	0,0574117	0,0188156	0,0435412	0,0158003
0,17	7413	0,0136247	0,00485633	0,0215837	0,00256306
0,18	7657	0,0428366	0,0197205	0,0432284	0,0158025
0,19	8507	0,0252733	0,00881627	0,0252733	0,00552486
0,2	8119	0,0136716	0,00394137	0,0162582	0,00283286
0,21	8289	0,0810713	0,0355893	0,0681626	0,0329352
0,22	8646	0,0264862	0,0212815	0,0506593	0,00693963
0,23	8551	0,0169571	0,00842007	0,0194129	0,0051456
0,24	8328	0,0422671	0,01561	0,0365034	0,014049
0,25	8486	0,0221541	0,0115484	0,0332312	0,00683479
0,26	8238	0,0352027	0,0197864	0,0411508	0,0140811
0,27	8879	0,0622818	0,0302962	0,0586778	0,0250028
0,28	8364	0,0422047	0,0225968	0,0483022	0,0104017
0,29	8229	0,017256	0,0127598	0,0250334	0,00838498
0,3	8856	0,0859304	0,0433604	0,0825429	0,0353433
0,31	8159	0,0359113	0,0196102	0,0432651	0,00723128
0,32	8755	0,0304969	0,0188464	0,0421473	0,0148487
0,33	8285	0,0535908	0,0288473	0,0540736	0,0194327
0,34	7768	0,052137	0,0276777	0,0531668	0,0189238
0,35	7986	0,0167794	0,0127724	0,0289256	0,00450789
0,36	7555	0,0111185	0,00794176	0,017869	0,00277962
0,37	7918	0,13804	0,0698409	0,128568	0,0668098
0,38	7819	0,0782709	0,0475764	0,0826193	0,0301829
0,39	7355	0,0329028	0,0288239	0,0618627	0,00938137
0,4	7010	0,0409415	0,0302425	0,0513552	0,0202568
0,41	7901	0,0561954	0,0331604	0,0577142	0,0261992
0,42	7012	0,0750143	0,0377924	0,0748716	0,0269538
0,43	6788	0,0667354	0,0477313	0,0889806	0,0321155
0,44	7440	0,0790323	0,0435484	0,0848118	0,0325269
0,45	6775	0,0867897	0,0585978	0,10155	0,040738
0,46	6464	0,0946782	0,051052	0,0965347	0,0348082
0,47	6121	0,0343081	0,0290802	0,0529325	0,0106192
0,48	6758	0,0241196	0,0227878	0,0498668	0,011098
0,49	6139	0,205082	0,111907	0,193517	0,10246
0,5	6639	0,131496	0,06748	0,130893	0,0519657
0,51	5998	0,0538513	0,0460153	0,0855285	0,0163388
0,52	5703	0,0590917	0,0457654	0,0885499	0,026828
0,53	5673	0,109466	0,0639873	0,122686	0,0511193
0,54	5970	0,122278	0,0745394	0,124288	0,0582915
0,55	5616	0,108974	0,0598291	0,114138	0,0434473
0,56	5245	0,0737846	0,0560534	0,103718	0,0291706
0,57	5047	0,104617	0,0659798	0,123043	0,0457698
0,58	5153	0,0591888	0,0392005	0,0694741	0,0225112
0,59	5330	0,218574	0,133021	0,232083	0,116323
0,6	5576	0,199964	0,0982783	0,194584	0,08967
0,61	4969	0,161803	0,0998189	0,192997	0,0635943
0,62	4901	0,0708019	0,0514181	0,091818	0,0218323
0,63	4256	0,109727	0,0784774	0,130404	0,0526316
0,64	5360	0,144216	0,083209	0,16194	0,0690299
0,65	4316	0,206441	0,11469	0,205283	0,101946
0,66	4601	0,164529	0,0917192	0,185612	0,0652032
0,67	4762	0,159387	0,106468	0,180596	0,0768585
0,68	4775	0,18555	0,115393	0,227016	0,088377
0,69	4570	0,167834	0,0938731	0,190591	0,0765864
0,7	4679	0,219705	0,131866	0,232101	0,106647
0,71	4344	0,213628	0,109116	0,213168	0,0902394
0,72	4148	0,151639	0,0795564	0,172131	0,0552073
0,73	4075	0,0650307	0,0534969	0,0903067	0,0201227
0,74	3799	0,0931824	0,0747565	0,136615	0,0502764
0,75	4807	0,262326	0,156022	0,275016	0,142292
0,76	4316	0,308619	0,15848	0,308156	0,148749
0,77	4730	0,327907	0,156237	0,317548	0,140803
0,78	4131	0,167272	0,0997337	0,196563	0,063907
0,79	3655	0,113269	0,0804378	0,168536	0,0415869
0,8	4295	0,18021	0,114086	0,211409	0,0896391
0,81	4111	0,191924	0,10703	0,208222	0,0921917
0,82	4316	0,276182	0,150371	0,285218	0,138786
0,83	4292	0,260951	0,137232	0,275862	0,117661
0,84	3752	0,214019	0,110608	0,233209	0,0895522
0,85	3856	0,175571	0,10529	0,201763	0,0809129
0,86	4121	0,229556	0,132007	0,256734	0,108226
0,87	4015	0,179577	0,0931507	0,201993	0,079203
0,88	3638	0,18994	0,0995052	0,20066	0,0830126
0,89	4385	0,295781	0,173546	0,31927	0,15553
0,9	3805	0,260184	0,145335	0,284363	0,131932
0,91	3972	0,30715	0,137462	0,299849	0,129154
0,92	3674	0,188895	0,0988024	0,222101	0,0751225
0,93	3681	0,167346	0,103776	0,199402	0,0831296
0,94	3602	0,198223	0,106052	0,221266	0,0893948
0,95	4288	0,308302	0,174674	0,327192	0,165578
0,96	3970	0,313854	0,156675	0,319395	0,148363
0,97	4148	0,337753	0,163693	0,340646	0,154773
0,98	3750	0,2384	0,1192	0,264267	0,0989333
0,99	3551	0,18361	0,0844832	0,194875	0,0650521
1	3858	0,246242	0,153188	0,282011	0,132711
1,01	3860	0,26943	0,139378	0,28886	0,123575
1,02	3531	0,220051	0,114415	0,240442	0,10337
1,03	4109	0,316865	0,167194	0,320516	0,16184
1,04	4057	0,347547	0,185112	0,367266	0,168597
1,05	3925	0,277707	0,127389	0,297834	0,118981
1,06	3732	0,224277	0,091104	0,218382	0,0833333
1,07	3513	0,243951	0,135497	0,260461	0,114147
1,08	3679	0,169068	0,0848057	0,200598	0,0655069
1,09	3542	0,26821	0,150762	0,293055	0,138905
1,1	3871	0,262981	0,141824	0,268406	0,135107
1,11	4371	0,382521	0,208419	0,399451	0,201327
1,12	4380	0,35274	0,174658	0,363927	0,166667
1,13	4084	0,359452	0,167238	0,368022	0,160872
1,14	3729	0,252615	0,108608	0,25476	0,0989541
1,15	3507	0,186769	0,0855432	0,216709	0,0615911
1,16	2947	0,0906006	0,0478453	0,138785	0,0271463
1,17	4062	0,208518	0,115953	0,219842	0,107829
1,18	3688	0,302061	0,167028	0,32321	0,160249
1,19	3547	0,211164	0,10375	0,233719	0,0967014
1,2	4348	0,385235	0,207912	0,383855	0,205612
1,21	3999	0,315579	0,143286	0,32058	0,137284
1,22	3676	0,268498	0,132209	0,283732	0,120783
1,23	3745	0,237383	0,0993324	0,249399	0,0897196
1,24	3856	0,256224	0,146006	0,271784	0,133039
1,25	3728	0,29265	0,14029	0,315719	0,132242
1,26	3353	0,189084	0,0876827	0,206084	0,0793319
1,27	3314	0,207906	0,0974653	0,214243	0,0935425
