interval	#all	%eigen	%spantree	%cosine	%common
0	37592	0,0255639	0,00851245	0,0235954	0,00678336
0,11	81604	0,0349738	0,0136881	0,0337974	0,0109676
0,22	93491	0,0382176	0,020526	0,0439935	0,0136377
0,33	83397	0,0566447	0,0337662	0,0634435	0,0234421
0,44	69680	0,0904707	0,0554392	0,102138	0,0394087
0,55	55769	0,132583	0,0797038	0,147107	0,0595492
0,66	48876	0,183444	0,107742	0,203249	0,085052
0,77	45274	0,213765	0,118214	0,234815	0,0963467
0,88	42913	0,258313	0,136229	0,275558	0,121525
0,99	41357	0,253573	0,131368	0,271441	0,117175
1,1	42534	0,280999	0,14372	0,295857	0,134504
1,21	41367	0,269853	0,131119	0,281577	0,124399
1,32	39144	0,255722	0,120632	0,263744	0,116186
1,43	38415	0,239464	0,11394	0,247664	0,110816
1,54	35850	0,215202	0,100725	0,222594	0,09894
1,65	34742	0,224598	0,104657	0,228945	0,103592
1,76	31585	0,199747	0,0920374	0,202754	0,0916891
1,87	28270	0,172586	0,078953	0,175628	0,0787053
1,98	25069	0,145	0,0676533	0,147752	0,0675735
2,09	21172	0,107217	0,0460986	0,108681	0,0460986
2,2	17597	0,0755811	0,0288117	0,0773996	0,0288117
2,31	14519	0,0560645	0,0198361	0,0562711	0,0198361
2,42	11394	0,0373003	0,0173776	0,0379147	0,0173776
2,53	8556	0,00105189	0	0,00116877	0
2,64	6232	0	0	0	0
2,75	4347	0	0	0	0
2,86	2865	0	0	0	0
2,97	1726	0	0	0	0
3,08	970	0	0	0	0
3,19	477	0	0	0	0
3,3	202	0	0	0	0
3,41	73	0	0	0	0
3,52	15	0	0	0	0
