Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
38, 1, 2, 0.333333, 9, 0.5, 0.111111, 4.19903, 0.0750486, , 1, 1.6316, 0.311397, 2.83391, , 1, 1.6316, 0.311397, 2.83391, , 
39, 1, 2, 0.333333, 0.5, 0.2, 0.25, 4.16554, 0.0624192, , 1, 0.624347, 0.783315, 2.92367, , 1, 0.624347, 0.783315, 3, , 
40, 1, 2, 0.25, 0.5, 0.166667, 0.2, 4.16554, 0.0624192, , 1, 0.638313, 0.797057, 3.73244, , 1, 0.638313, 0.797057, 3.82988, , 
41, 1, 2, 0.25, 0.5, 0.142857, 0.2, 4.16649, 0.0627806, , 1, 0.615508, 0.791316, 3.87341, , 1, 0.615508, 0.791316, 3.95658, , 
42, 1, 2, 0.2, 0.5, 0.142857, 0.166667, 4.16671, 0.0628611, , 1, 0.647701, 0.805767, 4.53736, , 1, 0.647701, 0.805767, 4.53736, , 
43, 1, 2, 0.2, 0.5, 0.125, 0.166667, 4.16554, 0.0624192, , 1, 0.627308, 0.800837, 4.68277, , 1, 0.627308, 0.800837, 4.80502, , 
44, 1, 2, 0.2, 0.5, 0.125, 0.142857, 4.16649, 0.0627806, , 1, 0.631858, 0.777828, 4.8949, , 1, 0.631858, 0.777828, 5, , 
45, 1, 2, 0.2, 0.5, 0.111111, 0.166667, 4.16827, 0.0634495, , 1, 0.610454, 0.796788, 4.82119, , 1, 0.610454, 0.796788, 4.82119, , 
46, 1, 2, 0.2, 0.5, 0.111111, 0.142857, 4.16692, 0.0629409, , 1, 0.61439, 0.772935, 5.0333, , 1, 0.61439, 0.772935, 5.0333, , 
47, 1, 2, 0.166667, 0.5, 0.111111, 0.142857, 4.16578, 0.0625128, , 1, 0.636053, 0.807457, 5.4889, , 1, 0.636053, 0.807457, 5.6522, , 
48, 1, 2, 0.166667, 0.5, 0.111111, 0.125, 4.1664, 0.0627469, , 1, 0.640374, 0.787602, 5.70495, , 1, 0.640374, 0.787602, 5.76337, , 
49, 1, 2, 0.166667, 0.5, 0.111111, 0.111111, 4.17074, 0.0643815, , 1, 0.644016, 0.770972, 5.90868, , 1, 0.644016, 0.770972, 5.90868, , 
50, 1, 2, 0.142857, 0.5, 0.111111, 0.142857, 4.17145, 0.0646486, , 1, 0.654244, 0.836457, 5.91004, , 1, 0.654244, 0.836457, 5.91004, , 
51, 1, 3, 4, 5, 3, 2, 4.12523, 0.0472218, , 1, 1.10302, 0.338371, 0.251776, , 1, 1.09524, 0.335985, 0.25, , 
52, 1, 3, 5, 5, 3, 3, 4.22526, 0.0849405, , 1, 1.07346, 0.365972, 0.210777, , 1, 1.01857, 0.34726, 0.2, , 
53, 1, 3, 6, 5, 4, 3, 4.15021, 0.0566395, , 1, 1.08002, 0.340723, 0.17467, , 1, 1.0566, 0.333333, 0.170882, , 
